" Site's location within industrial cluster [MV_A/MV_B/EUR_A/EUR_B/EUR_C/BOT_A/BOT_B/PER]","Site ID [String]","Conversion asset ID [string] – Must be unique","Asset status (existing/   considered for construction/ planned for construction/ under construction / considered for decommissioning/planned for decommissioning/under decommissioning","Alternative for  asset (asset ID/UNDEF/0) IF 0 than completely new asset on site","Period option can be considered for construction (start year:end year)","Period of planned construction (start year:endyear)","Under construction period (start year:endyear)","Period option can be considered for disinvestment (start year:end year) or UNDEF","Duration of decommissioning (years) or UNDEF","X (center of site)","Y (center of site)","Asset description –  human readable form – [String]","Owner – {String]","Feedstocks of conversion assets– list of allowed strings, separated by : (Coal,Natgas, Refgas,Petcokes,Resfuel,Oilrest,Waste,Electricity,Steam:Htheat:Ltheat:H2]","Feedstocks input for conversion asset – MW, per feedstock, separated by :","Conversion efficiency to electricity [fraction], a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to steam [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to HT heat [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to LT heat [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to H2 [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Natgas [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Utilization @ max. capacity [fraction of time], of conversion asset","CO2 emission factor [kg CO2/GJ feedstock], of conversion asset, seperated by : per feedstock type","Incoming Lines to conversion asset, list of unique strings of line names, separated by : WorldMarket , Environment if","Outgoing Lines from conversion asset, list of unique strings of line names, separated by : NULL if none, I.e. if  asset is demand","CAPEX (UNDEF / cost)","assetTypes","H2supplydemandcategory","connection_natgasnodes","Conversion efficiency to Coal [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Refgas [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Petcokes [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Resfuel [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Oilrest [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Waste [fraction], , a list of numbers separated by : in the same order as the feedstocks field","InvestID_electricity","InvestID_electricitystations"
"Eur_A","BP_refinery_EurA","C10","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",1,66754.863,440699.548,"Natgas_boiler","BP","Natgas","87",0.00,0.85,0.00,0.00,0.00,0.00,0.74,56.60,"GTS2cc10InternalGas","c10d4InternalSteam","UNDEF","Boiler","ChangecurrentH2demandc","GTS2c",0,0,0,0,0,0,,
"Eur_A","BP_refinery_EurA","C11","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",1,66754.863,440699.548,"Refgas_boilerBP","BP","Refgas","327",0.00,0.85,0.00,0.00,0.00,0.00,0.74,67.00,"Refgassupplyc11InternalRefgas","c11d4InternalSteam","UNDEF","Boiler","ChangecurrentH2demandc",,0,0,0,0,0,0,,
"Eur_A","BP_refinery_EurA","C12","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",1,66754.863,440699.548,"Petcoke_boilerBP","BP","Petcokes","93",0.00,0.85,0.00,0.00,0.00,0.00,0.74,97.50,"Petcokessupplyc12InternalPetcokes","c12d4InternalSteam","UNDEF","Boiler","ChangecurrentH2demandc",,0,0,0,0,0,0,,
"Eur_A","Enecogen_EurA","C13","existing","UNDEF","UNDEF","UNDEF","UNDEF","2025:2040",3,65942.062,441807.625,"Natgas_powergen","Eneco_Enecogen","Natgas","1475",0.59,0.00,0.00,0.00,0.00,0.00,0.50,56.60,"GTS1cc13internalGas","c13MV_TenneT380InternalElectricity","UNDEF","Powergen_flexible","ChangecurrentH2demandc","GTS1c",0,0,0,0,0,0,,
"Eur_A","Indorama_EurA","C14","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2040",2,66411.963,442214.026,"Natgas_cogen","Indorama","Natgas","91",0.31,0.49,0.00,0.00,0.00,0.00,0.69,56.60,"GTS2cc14internalGas","c14StedinEurInternalElectricity:c14d5InternalElectricity:c14d5InternalSteam","UNDEF","Cogen","ChangecurrentH2demandc","GTS2c",0,0,0,0,0,0,,
"Eur_A","ADM_EurA","C15","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2040",2,68085.191,441690.15,"Natgas_cogen","ADM","Natgas","70",0.31,0.49,0.00,0.00,0.00,0.00,0.91,56.60,"GTS2cc15internalGas","c15StedinEurInternalElectricity:c15d6InternalElectricity:c15d6InternalSteam","UNDEF","Cogen","ChangecurrentH2demandc","GTS2c",0,0,0,0,0,0,,
"Eur_A","ADM_EurA","C16","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",1,68085.191,441690.15,"Natgas_boiler","ADM","Natgas","23",0.00,0.85,0.00,0.00,0.00,0.00,0.91,56.60,"GTS2cc16internalGas","c16d6InternalSteam","UNDEF","Boiler","ChangecurrentH2demandc","GTS2c",0,0,0,0,0,0,,
"Eur_A","GTSconnection_backbone1_Eureast","GTS1c","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",66965.468,441539.157,"Node_GTSgrid","GTS","Natgas","1844",0.00,0.00,0.00,0.00,0.00,1.00,0.59,0.00,"GTSgrid1c","GTS1cc13internalGas:GTSgrid1b","UNDEF",,,,0,0,0,0,0,0,,
"Eur_A","Stedinsubstation_EurA","StedinEur","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",69645.142,439608.722,"Substation_Stedin","Stedin","Electricity","240",1.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,"TenneT150EurStedinEur","StedinEurd5InternalElectricity:StedinEurd6InternalElectricity:StedinEurd7InternalElectricity:StedinEurd8InternalElectricity:StedinEurd9InternalElectricity:StedinEurd10InternalElectricity:StedinEurd11InternalElectricity:StedinEurd40InternalElectricity","UNDEF",,,,0,0,0,0,0,0,,"Station_Stedin_extension"
"Eur_A","AirliquideH2gridconnectionBP_EurA","AirliquideH2_2","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",66656.413,439731.499,"Connection_H2gridAirliquide","Airliquide","H2","199",0.00,0.00,0.00,0.00,1.00,0.00,0.59,0.00,"Airliquidegrid2","AirliquideH2_2d4InternalH2","UNDEF",,,,0,0,0,0,0,0,,
